Email Text,Email Type
"as promised . . . 2 guys , vince hi vince , here are two guys : the first asked for you ( the guy from oxford ) . the second has a "" high profile "" name - brand risk job . candidate 1 : done at oxford in sept . math finance . will move anywhere necessary . citibank / andersen consulting background . well known candidate in london . fixed income / structured contol of 450 mil . i have direct ownership and contact with . this guy is really impressive by phone ! highly recommended by dr . donnelly oxford candidate 2 : no real investment banking / energy risk experiences . . . but , asked me to get him out in london as he and his wife lived / worked there for ford credit europe . has operational risk skills and experience ! can probably steal him away from ford ( ford has no agreement with me ) . . . he is fair game . thanks for the consideration ! jeff always held in strict confidence . jeff wesley 949 813 2241 hotline 347 487 8957 voice / fax us + 44 ( 845 ) 3341644 uk * get free , secure online email at http : / / www . ziplip . com / * - oxfordagent 9498132241 . doc - fordmattagent 9498132241 . doc",Safe Email
want a cheap watch ? http : / / itq . dimur . com,Phishing Email
"hpl optimization team , as i mentioned in our hpl staff meeting we are investigating the merits of entering into a joint venture or another transaction structure that will position hpl to effectively compete in the texas intrastate market . our primary objective is to gain access to additional sources of gas supply and achieve the required economies of scale to compete with other intrastate pipelines . i would appreciate your confidence and support in developing the optimal course of action for hpl and for enron . the skills that we have developed in our group are critical to growing our upstream origination business in n . america , as well as to the ongoing operation of hpl . our origination strategy is to leverage our business operations , field operations , engineering , producer services , and marketing skills to capture value from transportation , gathering , storage and commodity opportunities on the gas / power grids . we need our current employees to accomplish this objective across n . america . we have proven our ability to add value to enron by developing the powder / wind river pipelines , installing electric compressors , contracting for processing capacity , and establishing a new gas supply corridor along the gulf coast . our recent efforts to provide services such as business operations , measurement , trading / marketing , and accounting services to third party producers and pipelines also looks to be a promising growth opportunity . it is very important to our ongoing business relationships and our competitive position in the market place that we do not discuss hpl related matters with third parties . please come see me if you have any specific questions or concerns . also please refer any third party inquiries regarding hpl to tim determing . regards , brian",Safe Email
"pay nothing for this new cell phone + + unable to see graphics ? please go here to view this email . + + if you would prefer not to receive email advertisements from this advertiser in the future , click here . + + + + + the preceding advertisement was sent from digitalgogetter . net to bait - excelled at em . ca . if you would like to stop receiving advertisements from digitalgogetter . net in the future , please + + + + +",Phishing Email
"are you curious how much dinero you can pocket on taablets ? feel like you Â re the only one over paying for quality rxmeds ? you can join the others that are eshopping for taablets and putting bucks back in their pocketbook . if you demand quality relief , check our medzone for top - selling medicals on pain , severe tensions , male reproductive tissue dysfunction , severe tensions , man ' s care , raised cholesterin , over vveight , muscle - relaxant and sleepingaids . bringing you convenience with our timely delivery services . grab this wonderful chance to take advantage of our lowered pricing on quality taablets . have your case profile checked by licensed experts in a timely manner . seek for the bestddeals on tablets at our cyber space novv ! n elbow - chair , i watch her w "" do let us have the pleasure of taking you home . here is excellent room he said , and as if it were the result of immediate feeling , inding her br ight curls round her fingers , a nd str for three , i assure you . if we were all like you , i believe we might aitening her waist 8 , and nob 8 ody knows better than i do tha",Phishing Email
"who studies e-mail linguistically i am doing a stylistic study of e-mail messages , but i have failed so far to find any relevant publications . i would appreciate any references to such publications as well as information on the existence and access to any corpora of e-mail messages ( commercial or scientific ) . i know that two canadians - belmore and callot - have done something on e-mail , but i do not know how to get their publications from moscow . please respond to me directly and will post a summary . many thanks in advance . alla eskina department of stylistics moscow linguistic university alla @ eskina . msk . ru tel . 7 095 310 1296",Safe Email
"invoice processing as you are aware , the sap financial systems will be implemented for the enron gas pipeline group , enron north america and enron energy services companies on july 1 , 2000 . to effectively transfer the invoice processing from the legacy msa system to the sap system , the following dates should be followed : june 23 : invoice processing on the msa system will stop except for emergency payments , wire transfers and achs . june 26 : invoice processing on the sap system will begin for the gpg , ena and ees companies . accounts payables will input invoices into the sap system starting on this date , but checks will not be printed until the first payment run is processed on july 5 . june 28 : last day to input employee expense reports with ach in the msa system . june 29 : last day to input emergency payments and wire transfers in the msa system . june 30 : accounts payable to clean up outstanding open balances in the msa system . july 5 : all invoices will be entered into sap and the first payment run is processed . please remember , all invoices sent to accounts payable on or after june 23 must have sap general ledger coding applied to the invoice . if you have any questions , please contact larry dallman , 713 . 853 . 7222 , ben gwaltney , 713 . 853 . 1550 , andy zabriskie , 713 . 853 . 6892 or linda martin , 713 . 853 . 7038 .",Safe Email
"URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:3:56:54PM
Date: Mon, 23 Sep 2002 22:56:54 GMTCNN Headline News: To Blog or not to Blog[1].[1] http://www.cnn.com/2002/SHOWBIZ/09/20/hln.hot.buzz.blog/index.html
",Safe Email
"warez cd ' s we presents the widest selection of warez cds at lowest prices ! we sell backup cds , also known as warez cds . backup cds are copies of software . for example if you go into a shop and buy windows xp pro , for about $ 299 you get the serial , the cd , the box and the manual . when you order from power backups you get the windows xp cd and the serial number . it works exactly the same , but you don ' t get the manual and the fancy box . that is a saving of $ 280 , and the only difference is you don ' t have a colorful box and manual - which are not very useful . best selling cds : photoshop 7 . 0 ms windows xp ms office xp warcraft iii flash mx buy first cd for $ 59 . 99 , second cd for $ 16 . 99 , get one free ! what we offer : - 24 / 7 support on icq and email - shipping worldwide - secure payment processing - newest releases - best selection of cds - best prices on the internet our customer ' s comments : john s . thanks guys , i just got the set of cd ' s and they work as promised . you got a happy customer ready to order some more and i ' ll send more customers . mike j . i only want you to now that the cd i ordered had arrived . i was a little suspicious when i ordered the stuff , but i was wrong . thanks for your services and never let the site go down . chris n . top marks for an excellent service . your speed of response to my query was second to none . i ' ll certainly be buying from you in future . keep up the good work , guys . to order please click here",Phishing Email
"Terry W. Colvin fwded:
>""Leonard R. Cleavelin"" wrote:
>>Scat I have, unfortunately, run across. But this is the second reference I've
>>seen in as many weeks to ""Japanese tentacle porn"", which is a genre I've
>>lived in complete (and probably blissful) ignorance of until now. Unless it's
>>going to gross out a significant percentage of the readership of the list,
>>can we have a definition/description? Some of us lead sheltered lives.
>
>< http://www.abcb.com/ency/t/tentacle.htm >
>
>Now, isn't your life just SOOOO much more enriched?
>
>Dave PalmerNot a new Japanese genre either - check out Hokusai's ""Dream of the 
Fisherman's Wife"" (at  
and you don't want to know how many waves and views of Mt Fuji I had 
to wade through to find that for you discerning connoisseurs).Rachel
-- ""The banana is also the safest pistol from the assassin's point of view.
Bystanders are unlikely to intervene when one person chases another down
the street brandishing a banana. Indeed, they may not believe that they
saw it.""              _Killer, the Game of Assassination_, Steve JacksonTo unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ ",Safe Email
